englishquestion,answer,image_id
what is to the right of the bag hooks?,shelves,image313
what is on the table?,paper,image887
what is the largest object?,refridgerator,image843
what is on the table?,clothes,image1053
what is on top right of the toilet?,machine,image649
what is on the right side of the door?,curtain,image690
what is on the left side of the decorative item?,door,image1236
how many pictures are visible?,three,image914
what are found on the floor?,clothes,image1177
what are the objects hung close on the hangers?,clothes,image94
what is beneath the curtain?,bottle_of_liquid,image718
what is at the right bottom?,sofa,image1327
what is behind the chair?,table,image1194
what are the object kept close on the shelves?,books,image1040
what is behind the table?,cabinet,image1328
what is the colour of middle candle?,orange,image736
what is on the sofa?,"pillow, paper, book",image1275
what is the colour of the short chair?,blue,image1385
how many sinks are close to the counter?,two,image833
what is to the right side of the cabinet?,bed,image1062
what is on the wall?,"picture, decorative_item",image1420
what is the object close to the counter below the window?,sink,image906
what is on the piano?,picture,image1411
what is on the right side of the bookshelf?,door,image1251
what is at the right side of the photo?,window,image1061
what is the largest object?,sofa,image43
what is on the white and brown table?,bottle_of_liquid,image9
what is the object found on the floor?,floor_mat,image807
how many white objects in this picture?,nine,image2
what is hanged behind the tent?,curtain,image1157
what is the object close to the wall side to the cabinet?,window,image870
what is the object close to the ceiling?,light,image783
how many chair are?,five,image258
what is behind the ornamental plant?,window,image883
what is near the spice stand?,spoon_stand,image128
what is to the left side of the clothing hamper?,toys_basket,image1164
how many monitors in between the cpu?,one,image32
what is the red object close to the wall left of the dustbin?,fire_extinguisher,image1
what is leaning against the wall on the left side of the white cabinet?,ladder,image239
what is the largest object?,bed,image1022
what is on the left side of the curtains?,picture,image1284
what is on the stove burner?,tin_foil,image136
how many boxes are?,four,image106
what is the object on the wall behind the left navy bin?,whiteboard,image28
what is in the hanger?,towel,image716
what is the object on the floor in front of the wall?,table,image1161
how many drawers are visible?,two,image989
what is behind the table?,chair,image1320
what are the things on the table?,"toy, telephone",image1078
what object is in front of the window?,sofa,image981
what is object on the floor close to the counter?,garbage_bin,image112
what is found in the inner room?,cabinet,image1441
what is behind the sofa?,blinds,image1255
what is on the wall?,picture,image942
how many lamps are reflected in the mirror?,one,image1016
what is beneath the flower vase?,clothes,image1439
what is on the left side of the towel?,hanger,image672
what is the object on the floor in front of the wall?,bag,image1093
what is in front of of bookshelf?,chair,image53
what is on the left side of the towels?,toilet,image497
what is on the right side of the tissue roll?,toothpaste,image511
what is opposite to the door?,bed,image1179
what is opposite to the speaker?,table,image602
what color is the bathrobe on the clothing drying rack?,black,image517
what colors are the flower patterns on the pillows?,"orange, pink",image1074
what is found in between the cabinets?,bed,image1147
how many sinks are there?,two,image735
what objects are found below the window?,toy,image1124
what is found to the right side of the bed?,cabinet,image1178
how many chairs are there?,ten,image1381
how many objects on bathtub?,four,image736
what object is found in the cabinet?,bottle,image951
how many red objects are in this picture?,one,image8
what is in front of of the chair?,whiteboard,image41
what object is to the right of the rack?,television,image1300
what is the object found left?,bag,image956
what objects are on the table?,books,image1283
what is the object on the floor in the corner?,plant,image900
what is the colour of the towel?,green,image849
what is the colour of the bed?,white,image1138
how many red objects are on the wall?,one,image30
what are the objects in the shelves?,books,image483
what is on the left side of the dishwasher?,garbage_bin,image826
what are the objects kept on the table?,books,image88
what are the objects on the bed?,"pillow, blanket, bed_sheets",image516
what is the object close to the whiteboard in the corner of the room?,plant,image120
what colour is the wall?,white,image569
what is beneath the keyboard?,clothes,image63
what is at the right side of the bed?,cabinet,image1193
what is on the left side of the pillows?,ornamental_plant,image1189
what is placed on the shelves?,pillow,image233
what is beneath the picture?,toilet,image740
what is behind the tissue box?,paper_holder,image637
what is the object on the towel rod?,towel,image705
what are the things on the cabinet?,"lamp, photo, decorative_item",image1427
what is the largest object?,bed,image1039
what is in front of the window?,cabinet,image1440
what is found in front of the window?,bed,image1114
what is to the left of the wooden table?,container,image496
what is the object close to the counter?,stove,image861
what is on the either side of the pictures?,blinds,image954
what is on beneath the pictures?,piano,image1422
what is on the last shelf?,container,image495
what is left of printer?,mirror,image529
what are the things on the table?,"notebook, decorative_bowl",image1287
how many pink cubes are on the top of the night stand on the left side of the bed?,one,image1163
how many ornamental plants are there?,three,image789
what is found near the garbage bin?,guitar_case,image1203
what is the object close to the counter?,stove,image854
how many candles are there?,two,image1379
what is in front of the fireplace?,decorative_item,image1240
