englishquestion,hausaquestion,englishhausaquestion,answer,image_id
what is to the right of the bag hooks?,menene hannun dama na ?ugiyoyin jaka?,what is to hannun dama of the bag hooks?,shelves,image313
what is on the table?,menene akan teburin?,What is a kan table?,paper,image887
what is the largest object?,menene mafi girman abu?,What is mafi girman object?,refridgerator,image843
what is on the table?,menene akan teburin?,What is a akan table?,clothes,image1053
what is on top right of the toilet?,me ke saman dama na bandaki?,what is on top right na bandaki?,machine,image649
what is on the right side of the door?,me ke gefen dama na kofar?,what is on the right side na kofar?,curtain,image690
what is on the left side of the decorative item?,menene a gefen hagu na kayan ado?,what is a gefen hagu of the decorative item?,door,image1236
how many pictures are visible?,hotuna nawa ake gani?,how many hotuna are visible?,three,image914
what are found on the floor?,me ake samu a kasa?,Me ake samu on the floor?,clothes,image1177
what are the objects hung close on the hangers?,Menene abubuwan da aka rataye a kusa da rataye?,what are the objects hung close a kusa da hangers?,clothes,image94
what is beneath the curtain?,menene a ?ar?ashin labulen?,what is beneath the labule?,bottle_of_liquid,image718
what is at the right bottom?,menene a gindin dama?,Me nene at the right bottom?,sofa,image1327
what is behind the chair?,me ke bayan kujera?,what is behind the kujera?,table,image1194
what are the object kept close on the shelves?,Menene abubuwan da aka ajiye a kusa da ?akunan ajiya?,what are the object da aka ajiye a kusa da shelves?,books,image1040
what is behind the table?,me ke bayan teburin?,what is a bayan table?,cabinet,image1328
what is the colour of middle candle?,menene kalar kyandir na tsakiya?,what is the colour of kyandir na taskiya?,orange,image736
what is on the sofa?,menene akan sofa?,what is akan sofa?,"pillow, paper, book",image1275
what is the colour of the short chair?,menene kalar gajeriyar kujera?,what is the colour of gajeriyar kujera?,blue,image1385
how many sinks are close to the counter?,nutsewa nawa ne ke kusa da kanti?,how many sinks a kusa da counter?,two,image833
what is to the right side of the cabinet?,menene gefen dama na majalisar ministoci?,what is to the gefen dama of the cabinet?,bed,image1062
what is on the wall?,me ke jikin bango?,what is a jikin bango?,"picture, decorative_item",image1420
what is the object close to the counter below the window?,menene abin da ke kusa da counter ?in da ke ?asa da taga?,what is the object da ke kusa da counter below the window?,sink,image906
what is on the piano?,menene akan piano?,what is akan piano?,picture,image1411
what is on the right side of the bookshelf?,menene a gefen dama na rumbun littattafan?,what is abin da ke gefen dama da bookshelf?,door,image1251
what is at the right side of the photo?,menene a gefen dama na hoton?,what is a gefen dama of the photo?,window,image1061
what is the largest object?,menene mafi girman abu?,what is mafi girman object?,sofa,image43
what is on the white and brown table?,menene akan teburin farin da ruwan kasa?,me nene abin da ke kan white and brown table?,bottle_of_liquid,image9
what is the object found on the floor?,menene abin da aka samu a kasa?,menene abin da aka samu on the floor?,floor_mat,image807
how many white objects in this picture?,fararen abubuwa nawa a wannan hoton?,how many white objects a wannan hoton?,nine,image2
what is hanged behind the tent?,me ke rataye a bayan tanti?,what is hanged a bayan tanti?,curtain,image1157
what is the object close to the wall side to the cabinet?,menene abin da ke kusa da bangon bango zuwa majalisar?,menene abin da ke close to the wall side to the cabinet?,window,image870
what is the object close to the ceiling?,menene abin da ke kusa da silin?,what is the object da ke kusa da ceiling?,light,image783
how many chair are?,kujeru nawa ne?,how many kujeru a gurin?,five,image258
what is behind the ornamental plant?,me ke bayan shukar ado?,me ke bayan ornamental plant?,window,image883
what is near the spice stand?,menene kusa da tsayawar yaji?,what is kusa da spice stand?,spoon_stand,image128
what is to the left side of the clothing hamper?,menene gefen hagu na hamper ?in tufafi?,menene gefen hagu na clothing hamper?,toys_basket,image1164
how many monitors in between the cpu?,nawa saka idanu tsakanin CPU?,how many monitors a tsakanin cpu?,one,image32
what is the red object close to the wall left of the dustbin?,menene jan abu kusa da bangon hagu na kwandon shara?,what is the red object kusa da bangon hagu na dustbin?,fire_extinguisher,image1
what is leaning against the wall on the left side of the white cabinet?,me ke jingina jikin bangon gefen hagu na farar majalisar?,what is leaning against the wall ta gefen hagun white cabinet?,ladder,image239
what is the largest object?,menene mafi girman abu?,menene the largest object?,bed,image1022
what is on the left side of the curtains?,me ke gefen hagu na labule?,what is ke gefen hagu na curtains?,picture,image1284
what is on the stove burner?,me ke kan murhu?,me nene akan stove burner?,tin_foil,image136
how many boxes are?,akwatuna nawa ne?,how many akwatuna?,four,image106
what is the object on the wall behind the left navy bin?,Menene abin da ke bangon bayan bin bin jirgin ruwa na hagu?,what is the object da ke bangon behind the left navy bin?,whiteboard,image28
what is in the hanger?,menene a cikin rataye?,what is a cikin hanger?,towel,image716
what is the object on the floor in front of the wall?,menene abinda ke kasa a gaban bango?,what is the object on the floor a gaban bango?,table,image1161
how many drawers are visible?,aljihuna nawa ake gani?,how many drawers ake iya gani?,two,image989
what is behind the table?,me ke bayan teburin?,me nene a bayan table?,chair,image1320
what are the things on the table?,menene abubuwan da ke kan tebur?,what are the things da ke kan tebur?,"toy, telephone",image1078
what object is in front of the window?,wani abu ne a gaban taga?,what object a gaban window?,sofa,image981
what is object on the floor close to the counter?,Menene abu a kasa kusa da counter?,what is object on the floor a kasa kusa da counter?,garbage_bin,image112
what is found in the inner room?,me ake samu a dakin ciki?,me ake samu in the inner room?,cabinet,image1441
what is behind the sofa?,me ke bayan sofa?,what is ke bayan sofa?,blinds,image1255
what is on the wall?,me ke jikin bango?,what is ke jikin wall?,picture,image942
how many lamps are reflected in the mirror?,fitillu nawa ne suke nunawa a cikin madubi?,how many lamps are reflected a cikin madubi?,one,image1016
what is beneath the flower vase?,Menene a ?ar?ashin gilashin furen?,Menene a ?ar?ashin flower vase?,clothes,image1439
what is on the left side of the towel?,me ke gefen hagu na tawul?,what is on gefen hagu na towel?,hanger,image672
what is the object on the floor in front of the wall?,menene abinda ke kasa a gaban bango?,what is the object on the floor a gaban bango?,bag,image1093
what is in front of of bookshelf?,menene a gaban kantin littattafai?,what is a gaban bookshelf?,chair,image53
what is on the left side of the towels?,menene a gefen hagu na tawul ?in?,menene on the left side of the towels?,toilet,image497
what is on the right side of the tissue roll?,menene a gefen dama na nadi na tissue?,what is a gefen dama of the tissue roll?,toothpaste,image511
what is opposite to the door?,menene akasin kofa?,menene opposite to the door?,bed,image1179
what is opposite to the speaker?,menene akasin mai magana?,menene opposite to the speaker?,table,image602
what color is the bathrobe on the clothing drying rack?,wane launi ne rigar wanka akan busarwar tufa?,what color is the rigar wanka on the clothing drying rack?,black,image517
what colors are the flower patterns on the pillows?,wa?anne launuka ne salon furanni akan matashin kai?,what colors are the flower patterns akan matashin kai?,"orange, pink",image1074
what is found in between the cabinets?,me ake samu a tsakanin kaset?,what is found a tsakanin cabinets?,bed,image1147
how many sinks are there?,Ruwan ruwa nawa ne?,how many sinks a gurin?,two,image735
what objects are found below the window?,Wadanne abubuwa ne ake samu a kasa taga?,Wadanne abubuwa ne found below the window?,toy,image1124
what is found to the right side of the bed?,me aka samu gefen dama na gadon?,what is found to the right side na gadon?,cabinet,image1178
how many chairs are there?,kujeru nawa ne?,how many kujeru are there?,ten,image1381
how many objects on bathtub?,abubuwa nawa akan baho?,how many objects akan baho?,four,image736
what object is found in the cabinet?,Wane abu aka samu a majalisar ministoci?,Wane abu aka samu in the cabinet?,bottle,image951
how many red objects are in this picture?,Jajayen abubuwa nawa ne a wannan hoton?,how many red objects a wannan hoton?,one,image8
what is in front of of the chair?,me ke gaban kujera?,what is a gaban chair?,whiteboard,image41
what object is to the right of the rack?,wani abu ne a hannun dama na taragon?,wani abu ne is to the right of the rack?,television,image1300
what is the object found left?,menene abin da aka samu a hagu?,what is the object found a hagu?,bag,image956
what objects are on the table?,wadanne abubuwa ne akan tebur?,what objects ne akan tebur?,books,image1283
what is the object on the floor in the corner?,menene abin da ke ?asa a kusurwa?,what is the object da ke ?asa in the corner?,plant,image900
what is the colour of the towel?,menene kalar tawul?,what is the kalar tawul?,green,image849
what is the colour of the bed?,menene kalar gadon?,what is the kalar gadon?,white,image1138
how many red objects are on the wall?,jajayen abubuwa nawa ne akan bango?,how many red objects akan bango?,one,image30
what are the objects in the shelves?,menene abubuwan da ke kan shelves?,what are the objects da ke kan shelves?,books,image483
what is on the left side of the dishwasher?,me ke gefen hagu na injin wanki?,what is on gefen hagu na dishwasher?,garbage_bin,image826
what are the objects kept on the table?,menene abubuwan da aka ajiye akan teburin?,what are the objects da aka ajiye akan teburin?,books,image88
what are the objects on the bed?,menene abubuwan da ke kan gado?,Menene abubuwan dake on the bed?,"pillow, blanket, bed_sheets",image516
what is the object close to the whiteboard in the corner of the room?,menene abin da ke kusa da farar allo a kusurwar dakin?,what is the object da ke kusa da whiteboard in the corner of the room?,plant,image120
what colour is the wall?,wani launi ne bango?,what colour is the bango?,white,image569
what is beneath the keyboard?,menene ?ar?ashin maballin keyboard?,what is abin da ke karkashin keyboard?,clothes,image63
what is at the right side of the bed?,me ke gefen dama na gadon?,what is ke gefen dama of the bed?,cabinet,image1193
what is on the left side of the pillows?,me ke gefen hagu na matashin kai?,what is a gefen hagu of the pillows?,ornamental_plant,image1189
what is placed on the shelves?,abin da aka sanya a kan shelves?,what is placed a kan shelves?,pillow,image233
what is beneath the picture?,me ke karkashin hoton?,what is a karkashin picture?,toilet,image740
what is behind the tissue box?,me ke bayan akwatin tissue?,what is a bayan tissue box?,paper_holder,image637
what is the object on the towel rod?,menene abin da ke kan sandar tawul?,what is the object da ke kan towel rod?,towel,image705
what are the things on the cabinet?,menene abubuwa a majalisar ministocin?,wadanne abubuwan on the cabinet?,"lamp, photo, decorative_item",image1427
what is the largest object?,menene mafi girman abu?,menene the largest object?,bed,image1039
what is in front of the window?,menene a gaban taga?,what is a gaban window?,cabinet,image1440
what is found in front of the window?,me aka samu a gaban taga?,what is found a gaban window?,bed,image1114
what is to the left of the wooden table?,menene hagu na teburin katako?,menene to the left of the wooden table?,container,image496
what is the object close to the counter?,menene abu kusa da counter?,what is the object kusa da counter?,stove,image861
what is on the either side of the pictures?,menene a kowane gefen hotuna?,menene on the either side of the pictures?,blinds,image954
what is on beneath the pictures?,menene a ?ar?ashin hotuna?,menene on beneath the pictures?,piano,image1422
what is on the last shelf?,mene ne a kan shiryayye na ?arshe?,what is a kan last shelf?,container,image495
what is left of printer?,me ya rage na printer?,what is left na printer?,mirror,image529
what are the things on the table?,menene abubuwan da ke kan tebur?,what are the things da ke kan tebur?,"notebook, decorative_bowl",image1287
how many pink cubes are on the top of the night stand on the left side of the bed?,guda nawa ruwan hoda cubes ne a saman dare suna tsaye a gefen hagu na gado?,how many pink cubes are on the top of the night stand a gefen hagu na gado?,one,image1163
how many ornamental plants are there?,nawa tsire-tsire na ado akwai?,how many ornamental plants a wurin?,three,image789
what is found near the garbage bin?,me aka samu kusa da kwandon shara?,what is found kusa da garbage bin?,guitar_case,image1203
what is the object close to the counter?,menene abu kusa da counter?,what is the object kusa da counter?,stove,image854
how many candles are there?,kyandir nawa ne?,how many candles a wurin?,two,image1379
what is in front of the fireplace?,menene a gaban murhu?,what is a gaban  fireplace?,decorative_item,image1240
how any chairs are there?,yaya akwai kujeru?,how many kujeru are there?,three,image373
what is the colour of the chair?,menene kalar kujera?,what is the colour of the kujera?,"blue, red",image1079
what is at the left side?,me ke gefen hagu?,what is at the gefen hagu??,television,image1268
what is at the right bottom?,menene a gindin dama?,menene at the right bottom?,chair,image1336
what is the object close to the wall?,menene abin da ke kusa da bango?,what is the object da ke kusa da wall?,whiteboard,image31
what is to the left of the printer?,menene hagu na firinta?,menene to the left of the printer?,fax_machine,image409
what is on the window?,menene akan taga?,what is akan window?,blinds,image375
